OBJECTID_1 *,StructID,StudyCity,Occupancy,OccupancyClass,Cost,ContentCost,NumStories,Area,FoundationType,FirstFloorHt,BuildingType,InventoryCostUSD,Community,PageName,Scenario_Frequency,Dept_in_Struc,BldgDmgPct,ContDmgPct,BldgLossUSD,ContentLossUSD,InventoryLossUSD,Total_Loss,Depth_Grid,InvDmgPct,GridName
1,17901012920300500,East Peoria,2,COM8,521070,521071,1,6558,7,0.22,1,0,East Peoria,East Peoria 2 - ACE 0.2%,ACE 0.2,,0,0,0,0,0,0,,0,DEPTH_ACE02_ILRIVER
2,17901013220500800,East Peoria,2,COM1,6262020,6262021,1,669,7,0.29,1,4609,East Peoria,East Peoria 4 - ACE 0.2%,ACE 0.2,8.76,33.02,87.76,2067930,5495290,4320,7567540,9.05,93.76,DEPTH_ACE02_ILRIVER
3,17901012940103300,East Peoria,2,COM1,131820,131821,1,2228,7,0.15,4,15351,East Peoria,East Peoria 1 - ACE 0.2%,ACE 0.2,1.11,9.54,27.72,12570,36540,5060,54170,1.26,32.94,DEPTH_ACE02_ILRIVER
4,17901013230101100,East Peoria,1,RES1,27450,27450,1,637,4,2.35,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,15.99,81,39,22230,10710,0,32940,18.34,0,DEPTH_ACE02_ILRIVER
5,17901013211401500,East Peoria,2,COM3,248970,248971,1,4888,7,0.46,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,17.75,63.26,98,157490,243990,0,401480,18.21,0,DEPTH_ACE02_ILRIVER
6,17901013230701800,East Peoria,1,RES1,25430,25430,2,811,4,3.5,4,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,14.04,66.08,60,16800,15260,0,32060,17.54,0,DEPTH_ACE02_ILRIVER
7,17901013211801900,East Peoria,1,RES1,42540,42540,1,1205,4,2.97,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,12.21,81,39,34460,16590,0,51050,15.18,0,DEPTH_ACE02_ILRIVER
8,17901013211801300,East Peoria,1,RES1,16708,16708,1,775,4,0.75,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,16.61,81,39,13530,6520,0,20050,17.36,0,DEPTH_ACE02_ILRIVER
9,17901013230400600,East Peoria,1,RES1,46440,46440,1,1141,4,3.4,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,17.9,81,39,37620,18110,0,55730,21.3,0,DEPTH_ACE02_ILRIVER
10,17901013230400500,East Peoria,1,RES1,45420,45420,2,1197,4,3.37,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,17.81,71.81,60,32620,27250,0,59870,21.18,0,DEPTH_ACE02_ILRIVER
11,17901013230000900,East Peoria,1,RES1,33810,33810,2,1001,4,1.5,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,20.45,75.89,60,25660,20290,0,45950,21.95,0,DEPTH_ACE02_ILRIVER
12,17901013211602900,East Peoria,1,RES1,70380,70380,1,1723,4,2,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,18.23,81,39,57010,27450,0,84460,20.23,0,DEPTH_ACE02_ILRIVER
13,17901013230300100,East Peoria,1,RES1,28740,28740,2,1026,4,3.29,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,14,66,60,18970,17240,0,36210,17.29,0,DEPTH_ACE02_ILRIVER
14,17901013230301300,East Peoria,1,RES1,11805,11806,1,798,4,2.27,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,14.84,81,39,9560,4600,0,14160,17.11,0,DEPTH_ACE02_ILRIVER
15,17901013220301600,East Peoria,1,RES1,44310,44310,1,1348,7,2.36,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,11.98,76.96,79.96,34100,35430,0,69530,14.34,0,DEPTH_ACE02_ILRIVER
16,17901012920102400,East Peoria,2,COM1,4153740,4153741,1,211974,7,0.73,1,1460501,East Peoria,East Peoria 2 - ACE 0.2%,ACE 0.2,,0,0,0,0,0,0,,0,DEPTH_ACE02_ILRIVER
17,17901013230501200,East Peoria,1,RES1,24840,24840,1,641,4,1.39,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,18.4,81,39,20120,9690,0,29810,19.79,0,DEPTH_ACE02_ILRIVER
18,17901013230500800,East Peoria,1,RES1,23985,23986,1,831,4,2.15,4,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,18.03,81,39,19430,9360,0,28790,20.18,0,DEPTH_ACE02_ILRIVER
19,17901013211500200,East Peoria,1,RES1,23160,23160,1,1112,4,2.19,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,19.65,81,39,18760,9030,0,27790,21.84,0,DEPTH_ACE02_ILRIVER
20,17901013211400100,East Peoria,2,COM3,8520,8521,1,1986,7,0.42,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,17.74,63.21,98,5390,8350,0,13740,18.16,0,DEPTH_ACE02_ILRIVER
21,17901012940501000,East Peoria,2,COM1,162360,162361,1,10376,7,0.49,4,71491,East Peoria,East Peoria 2 - ACE 0.2%,ACE 0.2,4.84,19.69,76.44,31970,124110,59760,215840,5.33,83.6,DEPTH_ACE02_ILRIVER
22,17901012940103200,East Peoria,2,COM8,684540,684541,1,17429,7,0.86,4,0,East Peoria,East Peoria 1 - ACE 0.2%,ACE 0.2,-0.25,0.75,9.79,5160,67050,0,72210,0.61,0,DEPTH_ACE02_ILRIVER
23,17901013211600600,East Peoria,1,RES1,41970,41970,1,905,4,2.9,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,16.46,81,39,34000,16370,0,50370,19.36,0,DEPTH_ACE02_ILRIVER
24,17901013230602600,East Peoria,1,RES1,37830,37830,1,1442,4,1.5,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,17.59,81,39,30640,14750,0,45390,19.09,0,DEPTH_ACE02_ILRIVER
25,17901013211100500,East Peoria,2,COM1,379814,379815,1,12256,7,0.74,1,84444,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,10.36,39.43,89.36,149770,339400,80220,569390,11.1,95,DEPTH_ACE02_ILRIVER
26,17901013210600100,East Peoria,1,RES1,21330,21330,1,1204,4,2.79,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,12.83,81,39,17280,8320,0,25600,15.62,0,DEPTH_ACE02_ILRIVER
27,17901012830000900,East Peoria,3,IND2,1948111,1948112,1,135994,7,3.92,1,1229386,East Peoria,East Peoria 2 - ACE 0.2%,ACE 0.2,-2.37,0,0,0,0,0,0,1.55,0,DEPTH_ACE02_ILRIVER
28,17901012940600400,East Peoria,2,COM1,600090,600091,1,16776,7,0.51,2,115587,East Peoria,East Peoria 2 - ACE 0.2%,ACE 0.2,,0,0,0,0,0,0,,0,DEPTH_ACE02_ILRIVER
29,17901013320000400,East Peoria,2,COM2,511140,511141,1,20936,7,4,1,161207,East Peoria,East Peoria 4 - ACE 0.2%,ACE 0.2,,0,0,0,0,0,0,,0,DEPTH_ACE02_ILRIVER
30,17901012840001000,East Peoria,1,RES4,5913420,5913420,4,17515,7,0.4,1,0,East Peoria,East Peoria 2 - ACE 0.2%,ACE 0.2,1.21,3.42,12.7,202530,751000,0,953530,1.61,0,DEPTH_ACE02_ILRIVER
31,17901013230401700,East Peoria,1,RES1,44400,22200,1,1177,4,4.12,1,0,East Peoria,East Peoria 3 - ACE 0.2%,ACE 0.2,16.37,81,39,35960,8660,0,44620,20.49,0,DEPTH_ACE02_ILRIVER
