OBJECTID,StructID,StudyCity,Occupancy,OccupancyClass,Cost,ContentCost,NumStories,Area,FoundationType,FirstFloorHt,BuildingType,Dept_in_Struc,BldgDmgPct,ContDmgPct,BldgLossUSD,ContentLossUSD,InventoryLossUSD,Total_Loss,Community,PageName,Depth_Grid,Scenario_Frequency,InvDmgPct,InventoryCostUSD,GridName
1,17030070010001,Cass,3,IND6,23003,23003,1,3363,7,0,2,7.041901,54.125702,69.083801,12450,15890,38310,66650,Cass County,Cass County 5 - ACE 0.2%,7.041901,ACE 0.2,74.167603,51656,DEPTH_ACE02_ILRIVER
2,17030070010002,Cass,3,IND1,4521,6782,1,661,7,0,2,4.424744,20.274231,43.548462,920,2950,11950,15820,Cass County,Cass County 5 - ACE 0.2%,4.424744,ACE 0.2,50.698975,23565,DEPTH_ACE02_ILRIVER
3,169161240000501,Schuyler,1,RES1,29136,14568,1,3263,1,3.23,1,-0.692616,6.07384,7.688608,1770,1120,0,2890,Schuyler County,Schuyler County 5 - ACE 0.2%,2.537506,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
4,16909NOPIN0101,Schuyler,4,AGR1,175759,175759,1,1422,7,3,1,,82.991821,78,145870,137090,16840,299800,Schuyler County,Schuyler County 5 - ACE 0.2%,19.495911,ACE 0.2,100,16836,DEPTH_ACE02_ILRIVER
5,169170940000101,Schuyler,4,AGR1,30611,30611,1,1291,7,-0.3,3,11.10991,57.659435,76,17650,23260,15280,56190,Schuyler County,Schuyler County 5 - ACE 0.2%,10.809906,ACE 0.2,100,15285,DEPTH_ACE02_ILRIVER
6,169170940000102,Schuyler,1,RES1,28738,14369,1,1212,4,3.73,1,13.83064,81,39,23280,5600,0,28880,Schuyler County,Schuyler County 5 - ACE 0.2%,17.310852,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
7,169170910000201,Schuyler,4,AGR1,3855,3855,1,1508,7,-0.05,1,22.50419,94.008385,79.504196,3620,3060,17860,24540,Schuyler County,Schuyler County 5 - ACE 0.2%,22.454193,ACE 0.2,100,17855,DEPTH_ACE02_ILRIVER
8,169170720000201,Schuyler,1,RES1,11184,11184,2,1383,4,2.68,1,8.824791,56.649582,54.474373,6340,6090,0,12430,Schuyler County,Schuyler County 5 - ACE 0.2%,11.504791,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
9,169170720000202,Schuyler,4,AGR1,32178,32178,1,3979,7,0.66,1,12.00211,63.014767,76.002106,20280,24460,47110,91850,Schuyler County,Schuyler County 5 - ACE 0.2%,12.662109,ACE 0.2,100,47111,DEPTH_ACE02_ILRIVER
10,169143330000107,Schuyler,4,AGR1,9198,9198,1,2536,7,0.91,1,12.935,69.545006,76.934998,6400,7080,30030,43510,Schuyler County,Schuyler County 5 - ACE 0.2%,12.876251,ACE 0.2,100,30026,DEPTH_ACE02_ILRIVER
11,169143330000102,Schuyler,4,AGR1,13260,13260,1,3656,7,0.82,1,13.61875,73.093758,77,9690,10210,43290,63190,Schuyler County,Schuyler County 5 - ACE 0.2%,14.438751,ACE 0.2,100,43287,DEPTH_ACE02_ILRIVER
12,169143330000103,Schuyler,4,AGR1,8175,8175,1,2254,7,0.9,1,11.53875,60.232506,76,4920,6210,26690,37820,Schuyler County,Schuyler County 5 - ACE 0.2%,12.313751,ACE 0.2,100,26687,DEPTH_ACE02_ILRIVER
13,169143330000101,Schuyler,4,AGR1,2738,2738,1,755,7,-1.28,2,14.125,75.500008,77,2070,2110,8940,13120,Schuyler County,Schuyler County 5 - ACE 0.2%,12.782501,ACE 0.2,100,8939,DEPTH_ACE02_ILRIVER
14,169143330000105,Schuyler,4,AGR1,3377,3377,1,931,7,0.55,4,11.95125,62.707508,76,2120,2570,11020,15710,Schuyler County,Schuyler County 5 - ACE 0.2%,12.188751,ACE 0.2,100,11023,DEPTH_ACE02_ILRIVER
15,169143330000106,Schuyler,4,AGR1,6307,6307,1,1739,7,-1.14,2,13.5475,72.737503,77,4590,4860,20590,30040,Schuyler County,Schuyler County 5 - ACE 0.2%,12.407501,ACE 0.2,100,20590,DEPTH_ACE02_ILRIVER
16,169143330000104,Schuyler,4,AGR1,24188,24188,1,6669,7,-0.61,2,13.36125,71.806259,77,17370,18620,78960,114950,Schuyler County,Schuyler County 5 - ACE 0.2%,12.751251,ACE 0.2,100,78961,DEPTH_ACE02_ILRIVER
17,169143310000504,Schuyler,1,RES1,9147,9147,1,1547,4,3.06,1,7.222501,70.890007,35.2225,6480,3220,0,9700,Schuyler County,Schuyler County 5 - ACE 0.2%,10.282501,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
18,169143310000505,Schuyler,4,AGR1,2022,2022,1,342,7,-1.15,2,14.65125,77.605003,77,1570,1560,4050,7180,Schuyler County,Schuyler County 5 - ACE 0.2%,13.501251,ACE 0.2,100,4049,DEPTH_ACE02_ILRIVER
19,169143310000506,Schuyler,4,AGR1,14108,14108,1,2386,7,-0.31,1,12.99875,69.991257,76.998749,9870,10860,28250,48980,Schuyler County,Schuyler County 5 - ACE 0.2%,12.688751,ACE 0.2,100,28250,DEPTH_ACE02_ILRIVER
20,169143310000502,Schuyler,4,AGR1,12163,12163,1,2057,7,-0.41,1,12.47375,66.316261,76.473755,8070,9300,24360,41730,Schuyler County,Schuyler County 5 - ACE 0.2%,12.063751,ACE 0.2,100,24355,DEPTH_ACE02_ILRIVER
21,169143310000503,Schuyler,4,AGR1,3802,3802,1,643,1,1.58,2,11.35875,59.152508,76,2250,2890,7610,12750,Schuyler County,Schuyler County 5 - ACE 0.2%,12.938751,ACE 0.2,100,7613,DEPTH_ACE02_ILRIVER
22,169143310000501,Schuyler,4,AGR1,29157,29157,1,4931,7,-0.42,2,12.4525,66.167511,76.452499,19290,22290,58380,99960,Schuyler County,Schuyler County 5 - ACE 0.2%,12.126251,ACE 0.2,100,58383,DEPTH_ACE02_ILRIVER
23,169143220001402,Schuyler,4,AGR1,1401,1401,1,517,7,-1.42,2,3.607744,17.430977,62.254208,240,870,5520,6630,Schuyler County,Schuyler County 5 - ACE 0.2%,2.187744,ACE 0.2,90.193604,6121,DEPTH_ACE02_ILRIVER
